Time RV eRV BIS FWHM Contrast
55112.56735298 -0.12880427 0.48977664 -60.36931054 6728.11511116 53.45626936
55112.57271610 1.18122094 0.45637913 -61.10313358 6726.83982418 53.46413948
55116.58696297 -0.13261211 0.24412911 -59.80509444 6728.53298326 53.48008258
55121.58838133 -8.66381014 0.76111299 -58.63393318 6723.64631939 53.52390834
55121.59081404 -7.41209169 0.76361074 -60.58551549 6730.40925312 53.49656211
55121.59324676 -9.74944874 0.76142651 -57.94093248 6722.07398586 53.52960865
55121.59572589 -7.62173624 0.79001982 -57.86944738 6729.01911749 53.50540629
55121.59822828 -8.34988057 0.88603601 -61.80760533 6725.66611023 53.51046164
55122.52671028 -6.41363716 0.86028437 -61.69383280 6722.52721265 53.52386636
55122.52912645 -6.81690479 0.80393806 -60.71805082 6726.07471189 53.51824728
55122.53156924 -6.84316153 0.77272340 -60.78625881 6723.14339032 53.53969236
55122.53402476 -6.11482597 0.77049952 -61.05274651 6720.97351727 53.53528024
55122.53646812 -6.06976963 0.77078019 -58.74441593 6722.18829535 53.52713411
55124.52156896 -7.82406004 0.34600868 -61.38746311 6720.51419210 53.52456785
55124.52719804 -7.29143303 0.37459745 -61.03553535 6722.29337851 53.50682689
55127.52832890 -2.19917047 0.35257204 -59.44249621 6721.07592003 53.51507884
55127.53213349 -3.05833945 0.36402257 -59.71337806 6723.14233132 53.50428512
55127.53600901 -3.76726480 0.35520622 -60.20931770 6722.52699778 53.50865039
55129.55132869 -2.12644999 0.34380490 -59.43547891 6723.69548533 53.48110010
55129.55684056 -2.16248218 0.34736844 -59.64008128 6726.94873770 53.47711633
55132.52223986 -1.78485653 0.33597856 -60.99215533 6727.98415521 53.47317291
55134.51357392 -3.40879203 0.41809649 -60.08797153 6727.06516334 53.46587929
55134.51920430 -3.09717916 0.41440414 -60.99532240 6725.26422524 53.48608954
55135.50351865 -3.97311724 0.26836028 -59.16405004 6723.90890864 53.51590181
55135.50904683 -3.90370638 0.26759851 -58.38391935 6720.40540324 53.53015587
55136.52200930 -2.95482348 0.38295523 -58.61283463 6723.69458088 53.49047215
55139.49268163 -2.61247681 0.66755735 -59.53437825 6727.24546359 53.41614026
55139.49841097 -2.90621331 0.55717454 -60.19111488 6727.52219861 53.45721199
55142.50272261 0.98805085 0.58455183 -61.56971092 6731.23377946 53.43561053
55142.50929057 2.60415153 0.97849326 -61.49231430 6737.23479445 53.45521521
55143.50070225 4.23916183 0.50988400 -59.02946094 6729.07249719 53.44208065
55143.50593207 2.91370412 0.55453391 -59.08327574 6729.77594092 53.43898701
55370.73842919 1.70355598 1.98880864 -55.95773576 6719.58509011 53.42250696
55370.74290824 -2.99513130 3.34160600 -53.93968963 6712.97048243 53.24245942
